Unnamed: 0,번호,제목,저자,출판사,출판일
,48,A Study about Cyber Threat of Meta-Information regarding Application of Big-Data Which Is Analyzed Personal Information and Privacy Centrally = 개인정보와 프라이버시 중심으로 분석한 빅데이터의 사용에 있어 메타정보가 갖는 사이버 위협,강장묵,경희사이버대학교 사이버사회연구소,2013
,49,Private information protection method and countermeasures in Big-data environment : Survey,Sunghyuck Hong,한국융합학회,2018
,50,"Enhanced and applicable algorithm for Big-Data by Combining Sparse Auto-Encoder and Load-Balancing, ProGReGA-KF","Kim, Hyunah",The International Promotion Agency of Culture Technology,2021
,51,Utilization and Analysis of Big-data,이수욱,국제문화기술진흥원,2019
,52,Utilization and Analysis of Big-data,"Lee, Soowook",The International Promotion Agency of Culture Technology,2019
,53,Semantic interoperability for big-data in heterogeneous IoT infrastructure for healthcare,"Ullah, Farhan",Elsevier,2017
,54,Risks and Legal Protections in the World of Big-Data,Leslie E. Wolf,이화여자대학교 생명의료법연구소,2018
,55,Analysis of Fire-Accident Factors Using Big-Data Analysis Method for Construction Areas,Joon-Soo Kim,대한토목학회,2018
,56,SNS Big-data를 활용한 TV 광고 효과 분석 시스템 설계,이아름(Areum Lee),한국정보과학회,2015
,57,Text mining geo-visualization of patent documents on geo-spatial big-data industry,Wonwook Choi,대한공간정보학회,2019
,58,A Study for the Development of Incheon International Airport in the Post-Corona Era through the Analysis of Big-Data in the News: Using SBSC Frame and Text Mining,나형종,세명대학교 인문사회과학연구소,2023
,59,Stochastic Decision Making for Adaptive Crowdsourcing in Medical Big-Data Platforms,Joongheon Kim,IEEE,2015
,60,A Prediction of Stock Price Through the Big-data Analysis = 인터넷 뉴스 빅데이터를 활용한 기업 주가지수 예측,Ji Don Yu(유지돈),한국산업경영시스템학회,2018
,61,에너지 Big-Data 활용의 ICT법제 현안 연구,임은정(EunJung Im),한국신재생에너지학회,2017
,62,4. Big-data를 이용한 Alfalfa의 수확 횟수가 건물수량과 지속성에 미치는 영향,김지융,한국초지조사료학회,2020
,63,A Big-Data-Based Urban Flood Defense Decision Support System,Taimeng Yang,보안공학연구지원센터,2015
,64,양식 어장 환경 데이터 분석을 위한 IoT 기반 Big-data 시스템 설계 및 구현,유현주(Hyun-Joo Yoo),한국정보통신학회,2019
,65,Predicting the pattern of technology convergence using big-data technology on large-scale triadic patents,"Lee, Won Sang",Elsevier,2015
,66,"Risk Assessment of Secondary Primary Malignancies in Nasopharyngeal Carcinoma: A Big-Data Intelligence Platform-Based Analysis of 6,377 Long-term Survivors from an Endemic Area Treated with Intensity-Modulated Radiation Therapy during 2003-2013",Lu-Lu Zhang,대한암학회,2019
,67,Participation and Prognostic Impact of Cardiac Rehabilitation After Acute Coronary Syndrome: Big-Data Study of the Korean National Health Insurance Service,최희은,대한의학회,2023
,68,Development of Mission and Vision of College of Korean Medicine Using the Delphi Techniques and Big-Data Analysis,여상희,대한한의학회,2021
,69,Big-Data Based Real-Time Interactive Growth Management System in Wireless Communications,"Kim, Jonghun",Springer-Verlag,2019
,70,Big-Data 활용 동향 및 활성화에 대한 고찰,차승은,대한산업공학회,2015
,71,Using Big-Data-Driven Machine-Learning Experimentation to Modeling Mobility and Safety Disruption of Critical Highway Renewal Projects,"Choi, Kunhee",Korean Institute of Construction Engineering and Management,2018
,72,기상 레이더 Big-Data 처리를 위한 RBFNN 기반 에코 분류기의 설계 = 비교연구 및 해석,강전성(Jeon-Seong Kang),한국지능시스템학회,2014
,73,Case Studies of Phenomics Big-Data Production and AI-based Plant Research,Jeongho Baek,한국육종학회,2024
,74,Technology Analysis of Big-data Collection and Pre-processing Based on Prescriptive Analytics,Lee Jeong-won,한국콘텐츠학회,2020
,75,A Study on Big-Data's Effect of Film Marketing,Jin-Wook Kim,한국콘텐츠학회,2014
,76,Building a Supercomputing Environment for Big-Data and AI in Digital Breeding,Jinhyun Kim,한국육종학회,2024
,77,지방정부의 성과분석과 수요예측에 관한 연구 -DEA-Malmquist와 Big-Data활용-,김동신,한국행정학회,2024
,78,Mining Based Time-Series Sleeping Pattern Analysis for Life Big-Data,"Kim, Joo-Chang",Springer-Verlag,2019
,79,Extraction of valuable information from the structure of the geological big-data,Jina Jeong,대한지질학회,2020
,80,Integrative approach for understanding the biological networks of aging and cancer in terms of DNA repair mechanism with application of genomic big-data,Young Rok Seo,한국노년학회,2017
,81,Improving Crisis & Emergency Management Capability of Government by  Using Big Data Technology - China’s Response to the COVID-19 -,Linpei Zhai,위기관리 이론과 실천,2021
,82,Comparative Study of Big Data Computing and Storage Tools : A Review,Bakshi Rohit Prasad,보안공학연구지원센터,2016
,83,Big and Meta Data Management for U-Agriculture Mobile Services,Chandra Sukanya Nandyala,보안공학연구지원센터(IJSEIA),2016
,84,Big Data Creation Process and Measures for Utilization: Focusing on the Transportation Sector,우정욱(Jungwouk WOO),제주대학교 관광과경영경제연구소,2021
,85,A Study on Open API of Securities and Investment Companies in Korea for Activating Big Data,Gui Yeol Ryu,한국인터넷방송통신학회,2019
,86,Handling Endogeneity Challenge in Big Astronomical Data,Sumedha Arora,보안공학연구지원센터,2015
,87,Compromise between Small Data and Big Data,Kwang-Woong CHOI,제주대학교 관광과경영경제연구소,2021
,88,Spatial Big Data Strategy for Smart Safer City in Connection with Citizen Participation,최준영,국토지리학회,2020
,89,AHP 기법을 활용한 Big Data 보안관리 요소들의 우선순위 분석에 관한 연구,수브르더 비스워스(Subrata Biswas),한국전자거래학회,2013
,90,The Framework of Social Networks Big Data Processing Based on Cloud Computing,Liu Kewen,보안공학연구지원센터,2016
,91,Future directions of Research on Crisis Management implementing Big Data,Seol A Kown,위기관리 이론과 실천,2016
,92,Big Data 기반의 한국 해양수산 정책모형 고찰,"박용안(Park, Yong An)",한국산업경제학회,2020
,93,Big Data Smoothing and Outlier Removal for Patent Big Data Analysis,JunHyeog Choi(최준혁),한국컴퓨터정보학회,2016
,94,Big Data and Algorithm = 빅데이터와 알고리즘 : 독일 관점에서의 예비적 고찰,Hans-Heinrich Trute,서울대학교 공익산업법센터,2015
,95,Analysis and Review the Data Using Big Data Hadoop,Ankit Jain,보안공학연구지원센터,2016
,96,Medical big data: promise and challenges,이충호,대한신장학회,2017
,97,Big Data Platform Based on Hadoop and Application to Weight Estimation of FPSO Topside,"Kim, Seong-Hoon",Korean Society of Ocean Engineers,2017
,98,A Study on Open API of Securities and Investment Companies in Korea for Activating Big Data,류귀열,한국인터넷방송통신학회,2019
,99,THE IMPACT OF BIG DATA ON BUSINESS MODEL INNOVATION OF TRADITIONAL INDUSTRY,"Shenghui Wang,Yuchen Zhang,Tianzhu Li,Jing Fei Long",글로벌지식마케팅경영학회,2016
,100,"BIG DATA Challenges, Tools and Techniques",Rimsha Khalid,한국차세대컴퓨팅학회,2022
,1,A Study on Open API of Securities and Investment Companies in Korea for Activating Big Data,"Ryu, Gui Yeol",The Institute of Internet,2019
,2,Protecting Privacy in Big Data = 빅데이터 활용에 있어서의 프라이버시 보호,Fred H. Cate,서울대학교 공익산업법센터,2015
,3,Big Data Key Challenges,"Alotaibi, Sultan",International Journal of Computer ScienceNetwork Security,2022
,4,The Current Status of Sports Big Data Analysis Researches in Korea,Hyongjun Choi,아시아건강운동학회,2021
,5,The Limitations on the Use of Big Data Pursuant to Data Privacy Regulations in Korea,최정열,서울대학교 아시아태평양법연구소,2017
,6,Optimized Data Processing Analysis Using Big Data Cloud Platform,김종윤,한국지식정보기술학회,2021
,7,Practical use of open data to construct regional big data center for Hanwoo farm,이찬우,한국동물유전육종학회,2022
,8,Exploiting IoT and big data analytics: Defining Smart Digital City using real-time urban data,"Rathore, M. Mazhar",Elsevier,2018
,9,Influence of Internet-based Social Big Data on Personal Credit Reporting,Meng Li,사단법인 미래융합기술연구학회,2020
,10,Future Directions of Research on Crisis Management Using Big Data,Seol A Kown,위기관리 이론과 실천,2016
,11,Future directions of Research on Crisis Management implementing Big Data,Seol A Kown,위기관리 이론과 실천,2016
,12,Market Impact Analysis Service Based on Big Data in Gyeonggi-Do,조준서(June-Suh Cho),한국외국어대학교 지식출판콘텐츠원 글로벌경영연구소,2023
,13,스포츠 공공 빅데이터(Big Data)의 미래 활용가치를 위한 발전방안,박성제(Sung Je Park),한국사회체육학회,2013
,14,Proposal of the energy consumption analysis process for the residential houses using big data analytics technique,Pak W,한국CDE학회,2021
,15,Potentiality of Big Data in the Medical Sector: Focus on How to Reshape the Healthcare System,지경용,대한의료정보학회,2013
,16,Design of a Platform for Collecting and Analyzing Agricultural Big Data,뉘엔반퀴엣,한국디지털콘텐츠학회,2017
,17,Case Study on Big Data Sampling Population Collection Method Errors in Service Business,안진호,서비스사이언스학회,2020
,18,A comparative study of recent advancesin Big data Security and Privacy,Ahlam Kourid,사단법인 인문사회과학기술융합학회,2017
,19,Big Data 활용 및 불확실성에 관한 소고,홍정완(Jeong-Wan Hong),한국엔터테인먼트산업학회,2012
,20,Big Data and Doing Research in the Management Discipline,정의교,한국무역연구원,2018
,21,A Preference Study of Naming Children Based in the Big Data,"Nam, Sootai",대한경영정보학회,2024
,22,Data Integration and Mining based on Web Big Data,Su-Zhi Zhang,보안공학연구지원센터,2015
,23,Legal Challenges to AI･Big Data Utilization,손승우,한국스포츠엔터테인먼트법학회,2019
,24,Framework and Key Technology Review of Big Data Analysis in the Social Network Background,Zhendong Ji,보안공학연구지원센터,2016
,25,Educational Application in Biology of the Big Data Technology Based on Physical Computing = 피지컬 컴퓨팅을 통한 생명과학 분야 빅데이터 기술의 교육적 활용,박진선(Jin-Sun Park),한국교원대학교 뇌기반교육연구소,2021
,26,Design of a Platform for Collecting and Analyzing Agricultural Big Data,Van-Quyet Nguyen(뉘엔 반 퀴엣),한국디지털콘텐츠학회,2017
,27,Big Data Architecture Design for the Development of Hyper Live Map (HLM),문수정,한국측량학회,2016
,28,Big Data Analysis Using Modern Statistical and Machine Learning Methods in Medicine,유창원,대한배뇨장애요실금학회,2014
,29,Transport modelling in the age of big data,Cuauhtemoc Anda,서울시립대학교 도시과학연구원,2017
,30,"Legal Aspects of Personal Data Protection in the Big Data Era- Focused on Legal Consolidation, Information Sensitivity and Re-identification -",양기진,인하대학교 법학연구소,2014
,31,Development of Real-time Big Data Analysis System and a Case Study on the Application of Information in a Medical Institution,Mi-Jin Kim,보안공학연구지원센터,2015
,32,Pediatric Cancer Research using Healthcare Big Data,Hyery Kim,대한소아혈액종양학회,2022
,33,Capturing Data from Untapped Sources using Apache Spark for Big Data Analytics,Aaron Nichie,대한전기학회,2016
,34,A Data Cleaning Model for Electric Power Big Data Based on Spark Framework,Zhao-Yang Qu,보안공학연구지원센터,2016
,35,"Legal Aspects of Personal Data Protection in the Big Data Era = Focused on Legal Consolidation, Information Sensitivity and Re-identification","Yang, Gi-Jin(양기진)",인하대학교 법학연구소,2014
,36,Toward modeling and optimization of features selection in Big Data based social Internet of Things,"Ahmad, Awais",North-Holland,2018
,37,Toward High-Quality Real-World Laboratory Data in the Era of Healthcare Big Data,Kim Sollip,대한진단검사의학회,2025
,38,Guidelines for big data projects in artificial intelligence mathematics education,이정화,한국수학교육학회,2023
,39,A Study on Global Culture Arts and Big Data Analysis,고혜경,한국글로벌문화학회,2020
,40,Human-centric storage resource mechanism for big data on cloud service architecture,"Kim, H. W.",Springer Science + Business Media,2016
,41,Toward a Policy for the Big Data-Based Social Problem-Solving Ecosystem: the Korean Context,박성욱,아시아기술혁신학회,2019
,42,A study on ways to make employment improve through Big Data analysis of university information public,"Lim, Heon-Wook",The International Promotion Agency of Culture Technology,2021
,43,The Data Sharing Economy and Open Governance of Big Data as Public Good,Jung Wan LEE,한국유통과학회,2021
,44,Big Data의 효과적 활용을 위한 관리회계 교육의 변화,권혁준(Hyukjun Kwon),연세대학교 경영연구소,2021
,45,Toward a Policy for the Big Data-Based Social Problem-Solving Ecosystem: the Korean Context,"Park, Sung-Uk",Asian Society for Innovation and Policy,2019
,46,Big data pre-processing methods with vehicle driving data using MapReduce techniques,"Cho, W.",Springer Science + Business Media,2017
,47,Anonymity Personal Information Secure Method in Big Data environment,홍성혁,중소기업융합학회,2018
,48,Big Data is Not just Hadoop,Ronnie D. Caytiles,사단법인 인문사회과학기술융합학회,2012
,49,Building Linked Big Data for Stroke in Korea: Linkage of Stroke Registry and National Health Insurance Claims Data,김태정,대한의학회,2018
,50,Hadoop Based Wavelet Histogram for Big Data in Cloud,김정준,한국정보처리학회,2017
,51,"Big Data, Health Care, and International Human Rights Norms",Carole J. Petersen,이화여자대학교 생명의료법연구소,2017
,52,Cost Minimization for Big Data Processing in Geo-Distributed Data Centres,T. Sai Raaga Sowmya,사단법인 미래융합기술연구학회,2016
,53,Finding Useful Information for Big Data,Yong Shi,보안공학연구지원센터,2015
,54,Do Property Rights in Personal Data Make Sense After the Big Data Turn? = 빅데이터 변화 이후에도 개인 정보의 재산권적 성격은 타당한가? - 개인 통제와 명확성,Nadezhda Purtova,서울대학교 공익산업법센터,2017
,55,Efficient Query Processing Platform for Uncertain Big Data,Zhenhua Huang,보안공학연구지원센터,2015
,56,Big data platform for health monitoring systems of multiple bridges,"Wang, Manya",Techno-Press,2020
,57,Development of a Big Data Capability Assessment Model,신경식,한국엔터프라이즈아키텍처학회,2016
,58,Big Data Preliminary Analysis: A Framework for Easier Data Sharing and Discovery,"Hong, Seong Eun",International Information Institute,2018
,59,Extracting the Sentiment Score of Customer Review from Unstructured Big Data Using Map Reduce Algorithm,Syed Imtiyaz Hassan,보안공학연구지원센터,2016
,60,Software-Defined Networking Enabled Big Data Tasks Scheduling: A Tabu Search Approach,"Jamali, Shahram",한국통신학회,2023
,61,Protecting and Utilizing Health and Medical Big Data: Policy Perspectives from Korea,이동진,대한의료정보학회,2019
,62,A Study on Big Data Processing-based Data Concentrated Computation,조이상,한국지식정보기술학회,2021
,63,"Big Data Analysis of Food Tourism under COVID-19 Regulations in Jeonnam, Korea",Hyojin Kim,J-INSTITUTE,2022
,64,Big Data Security and Privacy: A Taxonomy with Some HPC and Blockchain Perspectives,"Alsulbi, Khalil",International Journal of Computer ScienceNetwork Security,2021
,65,Knowledge Creation Structure of Big Data Research Domain,남수현,한국디지털정책학회,2015
,66,Real-time analysis and predictability of the health functional food market using big data,김상순,한국식품과학회,2021
,67,Educational Python for Big Data Analytics,Juyong Ko,한국경영정보학회,2024
,68,Approach to Big Data-based Reference Architecture for Specific Use Cases,안철범,한국지식정보기술학회,2021
,69,Hadoop Based Wavelet Histogram for Big Data in Cloud,"Kim, Jeong-Joon",Korea Information Processing Society,2017
,70,Design and Development of Big Data Platform based on IoT-based Children's Play Pattern Analysis,"Jung, Seon-Jin",The Institute of Internet,2020
,71,Utilizing Spatial Big Data platform in evaluating correlations between rental housing car sharing and public transportation,최준영,대한공간정보학회,2017
,72,Effective Utilization Strategies for Big Data Logs Generated from Digital Content Consumption: Analysis and  Optimization Strategies,안해리,아이씨티플랫폼학회,2024
,73,A New Strategy for Evaluating the Quality of Laboratory Results for Big Data Research: Using External Quality Assessment Survey Data (2010–2020),Cho Eun-Jung,대한진단검사의학회,2023
,74,PARADISE: Big data analytics using the DBMS tightly integrated with the distributed file system,"Kim, J. S.",Springer Science + Business Media,2016
,75,Laboratory Preparation for Digital Medicine in Healthcare 4.0: An Investigation Into the Awareness and Applications of Big Data and Artificial Intelligence,Yu Shinae,대한진단검사의학회,2024
,76,Bankruptcy Prediction Modeling Using Qualitative Information Based on Big Data Analytics,Nam-ok Jo(조남옥),한국지능정보시스템학회,2016
,77,A Study on the Development of Food Service Franchise Marketing Strategy Using Social Media Big Data Analysis,심은희,한국인터넷방송통신학회,2024
,78,Integration of Big Data Analytics (BDA) in Forensic Accounting for the listed companies in KOSPI: To provide a technical strategy aimed at embezzlement detection and prevention,김규현,대한산업공학회,2024
,79,Artificial intelligence techniques for outcome prediction in marketing strategies and big data analytics for businesses,Donggeun Kim,한국경영정보학회,2023
,80,"Smart cities with big data: Reference models, challenges, and considerations","Lim, Chiehyeon",Elsevier,2018
,81,Integration of Big Data Analytics (BDA) in Forensic Accounting for the listed companies in KOSPI: To provide a technical strategy aimed at embezzlement detection and prevention,김규현,한국경영과학회,2024
,82,A Study on Efficient Building Energy Management System Based on Big Data,Young-Hyun Chang,한국인터넷방송통신학회,2019
,83,Design and Implementation of Hadoop-based Customer Marketing Big Data Processing System,Yang Liu,보안공학연구지원센터,2016
,84,Dynamic Guaranteed Cost Compression for Time Series Big Data,Miao Bei-bei,보안공학연구지원센터,2015
,85,Feature Selection Using Submodular Approach for Financial Big Data,Girija Attigeri,한국정보처리학회,2019
,86,Design and Implementation of Incremental Learning Technology for Big Data Mining,Byung-Won Min,한국콘텐츠학회(IJOC),2019
,87,A Study on Construction of Aids to Navigation Big Data Based on S-201,김윤지,한국항해항만학회,2022
,88,Communication Management of Large Projects in Big Data Environment,Suhail Memon,보안공학연구지원센터,2015
,89,Identifying Barriers to Big Data Analytics: Design-Reality Gap Analysis in Saudi Higher Education,"AlMobark, Bandar Abdullah",International Journal of Computer ScienceNetwork Security,2021
,90,A Study on FIFA Partner Adidas of 2022 Qatar World Cup Using Big Data  Analysis,Kyung-Won Byun,한국인터넷방송통신학회,2023
,91,From Big Data to Business Value : Emerging Technology Extraction and Analysis System Based on Korean Newspapers,Dong-Suk Hong(홍동숙),한국엔터테인먼트산업학회,2014
,92,Big Data Process Method and Usage,이성훈,한국정보기술학회,2013
,93,Big Data Analysis on Consumer Perception of Pressure Injuries: Text Mining and Semantic Network Analysis,박경희,대한창상학회,2024
,94,Enhanced Regular Expression as a DGL for Generation of Synthetic Big Data,Kai Cheng,한국정보처리학회,2023
,95,DTG Big Data Analysis for Fuel Consumption Estimation,조원희,한국정보처리학회,2017
,96,A Study of Hybrid Heterogeneous System Based on Big Data Query,Sang Hailing,보안공학연구지원센터,2016
,97,Big Data 분석을 활용한 통신망 관리 시스템의 개선방안에 관한 연구,"구성환(Koo, Sung-Hwan)",한국산학기술학회,2012
,98,“DON’T JUDGE A BOOK BY ITS COVER.” HOW BIG DATA CHANGES DECISION PROCESSES OF MARKETING MANAGERS.,Christoph Wortmann,글로벌지식마케팅경영학회,2018
,99,DTG Big Data Analysis for Fuel Consumption Estimation,"Cho, Wonhee",Korea Information Processing Society,2017
,100,Finding Industries for Big Data Usage on the Basis of AHP,이상원,한국디지털정책학회,2016
,1,Big data-based piping material analysis framework in offshore structure for contract design,"Oh, Min-Jae",Techno-Press,2019
,2,k-NN Join Based on LSH in Big Data Environment,"Ji, Jiaqi",The Korea Institute of Information and Commucation Engineering,2018
,3,BIG DATA IN FAMILY BUSINESS MARKETING ACTIVITIES DECISIONS,Isabel Torres,글로벌지식마케팅경영학회,2018
,4,Construction and Application of Information Base of Urban Residential Landscape Based on Big Data,Wang Shunhui,보안공학연구지원센터,2015
,5,A Research Analysis of QR code based on big data in Korea,Eun-ji Lee(이은지),한국컴퓨터정보학회,2021
,6,"A Collaborative Inventory Management of Big Data Supply Chain based on System Dynamics: China""s Beer Industry",Jinhui Chen,한국정보통신학회,2021
,7,A Study on the Collaborative Inventory Management of Big Data Supply Chain : Case of China’s Beer Industry,Jinhui Chen(진금회),한국컴퓨터정보학회,2021
,8,A Big Data Analytics Platform for Smart Factories in Small and Medium-Sized Manufacturing Enterprises: An Empirical Case Study of a Die Casting Factory,이주연,한국정밀공학회,2017
,9,Forecast Likelihood of Stock Trading Price Based on Big Data Analysis,Soo-Tai Nam,한국정보통신학회,2019
,10,Big Data Meets Telcos: A Proactive Caching Perspective,Ejder Ba¸stu˘g,한국통신학회,2015
,11,Big Data Processing Strategies for Low-cost Monitoring of Airborne Particulate Matter in Mine Sites,Eui Young Seo,계명대학교 자연과학연구소,2021
,12,TREND ANALYSIS FOR CUSTOMER PURCHASING INTENTION BASED ON BIG DATA ENVIRONMENT,Myung- Ki Nam,한국엔터테인먼트산업학회,2018
,13,A Study on the Sentiment Analysis of City Tour Using Big Data,Se-won Jeon,한국인터넷방송통신학회,2023
,14,Integrating Normalization with Random Tree Data Mining Approach for Mining Cloud Based Big Data’s of Asthma Patient’s,Abhinav Hans,보안공학연구지원센터,2015
,15,Offline-to-Online Service and Big Data Analysis for End-to-end Freight Management System,Suganya Selvaraj,한국정보처리학회,2020
,16,Big data를 이용한 Warehouse Management System 모델 연구 - SAP S/4 Hana를 중심으로 -,이성훈,동중앙아시아경상학회,2019
,17,"Navigating ePolicy Cycle: Big Data, Citizen, and Government",이은미,(사)위기관리이론과실천,2023
,18,Airline Data Set Analysis using Big Data in Cloud Computing,Nillohit Bhattacharya,한국경영정보학회,2017
,19,Localized indoor air quality monitoring for indoor pollutants’ healthy risk assessment using sub-principal component analysis driven model and engineering big data,시홍란,한국화학공학회,2015
,20,Curating Big Data for Health and Wellness in Cloudcentric IoT,무하마드 비랄 아민,한국통신학회,2018
,21,Investigation of Personal Information Protection Schemes in the Era of Big Data,구단,한중사회과학학회,2022
,22,Strategies for the Development of Watermelon Industry Using Unstructured Big Data Analysis,"LEE, Seung-In",한국유통과학회,2021
,23,Study on group financial sharing issues in big data era,Zhou Chen,한국유통과학회,2017
,24,A Survey on SLA Management for Cloud Computing and Cloud-Hosted Big Data Analytic Applications,Radhya Sahal,보안공학연구지원센터,2016
,25,Real-time secure communication for Smart City in high-speed Big Data environment,"Rathore, M. Mazhar",Elsevier,2018
,26,Performance Comparison of MySQL Cluster and Apache Spark for Big Data Applications,Indira Bidari,보안공학연구지원센터,2016
,27,Advancing Cancer Prevention and Behavior Theory in the Era of Big Data,Audie A. Atienza,대한암예방학회,2016
,28,Multilevel Analysis on Factors Affecting Fundus Examination Using Big Data,Min-Kyoung Kim,한국정보통신학회,2019
,29,Development of big data based Skin Care Information System SCIS for skin condition diagnosis and management,Hyung-Hoon Kim(김형훈),한국컴퓨터정보학회,2022
,30,Credit Risk Analysis Using the Big Data of Chinese Microfinance Company,Ying Wang,한국아시아학회,2021
,31,POSRI 보고서 -Big Data로 들여다본 집단지성과 집단사고의 차이,김호인(수석연구원),포스코경영연구원,2016
,32,The Arrival of the Industry 4.0 and the Importance of Corporate Big Data Utilization,"AN, Haeri",East Asia Business Economics Association,2022
,33,Awareness and Resolution of Touristification in Korea Using Social Media Big Data Analytics,Yoonhee Cho,People&Global Business Association,2021
,34,A Systematic Review of Big Data: Research Approaches and Future Prospects,"Cobanoglu, Cihan",Smart Tourism Research Center,2022
,35,A Study on Efficient Building Energy Management System Based on Big Data,"Chang, Young-Hyun",The Institute of Internet,2019
,36,Enhancing Career Fit : A Big Data-driven “Job Matching” System,Ronald Sukwadi,한국경영정보학회,2024
,37,The Arrival of the Industry 4.0 and the Importance of Corporate Big Data Utilization,안해리,동아시아경상학회,2022
,38,Analysis of the Current and Future of the Artificial Intelligence in Financial Industry with Big Data Techniques,Eun Jung Go,사람과세계경영학회,2020
,39,[IB-1] Korean Smart Healthy City Platform Design: Integrating Big-Thick Data with Ethical Considerations,Inyong Jeong,한국정보통신학회,2024
,40,Text Mining and Visualization Using Big Data Based Press Meta Information,Soo-Tai Nam(남수태),한국정보통신학회,2024
,41,A Study on ANTI-TERROR System Using Big Data Based,Lee Jae young,J-INSTITUTE,2018
,42,스팀터빈 복수기 진공 개선을 위한 AI-Big Data 품질기법 적용 연구,허길영,한국품질경영학회,2021
,43,A Trend Analysis on E-sports using Social Big Data,여경아,한국스포츠과학회,2024
,44,A Study on Big Data-based GraphX Model for Social Network Service,조이상,한국지식정보기술학회,2020
,45,A Study on Efficient Building Energy Management System Based on Big Data,장영현,한국인터넷방송통신학회,2019
,46,Electric vehicle charging demand forecasting model based on big data technologies,"Arias, M.B.",Applied Science Publishers,2016
,47,Factors Affecting the Use of Big Data: Focusing on the UTAUT2,박광오,대한경영정보학회,2022
,48,Ecological predictions using AI in the era of big data to a dvance pest management,Hyoseok Lee,한국응용곤충학회,2024
,49,Development of the Unified Database Design Methodology for Big Data Applications = based on MongoDB,이준호(Junho Lee ),한국컴퓨터정보학회,2018
,50,A Design of DBaaS-Based Collaboration System for Big Data Processing,"Jung, Yean-Woo",The Institute of Internet,2016
,51,A Design of DBaaS-Based Collaboration System for Big Data Processing,정연우,한국인터넷방송통신학회,2016
,52,A Design of DBaaS-Based Collaboration System for Big Data Processing,Yean-Woo Jung,한국인터넷방송통신학회,2016
,53,"The 4th Industrial Revolution Era and Emergency Preparedness Policy: Artificial Intelligence, Big Data Analysis, Cloud Computing, Drone Use",Jae Eun Lee,위기관리 이론과 실천,2019
,54,Design and Implementation of a Dynamic Educational Content Viewer with Big Data Analytics Functionality,"Seong-Yeon Ju,Min-Ho Song,Ga-Ae Ryu,Mihye Kim,Kwan-Hee Yoo",보안공학연구지원센터,2014
,55,A Big Data Analysis System for Financial Trading,Shian Chang Huang,People&Global Business Association,2017
,56,A Big Data Outlier Detection System Using HDFS and RHive for Historical Data,Young-gi Kim,중소기업융합학회,2015
,57,Utilizing Integrated Public Big Data in the Database System for Analyzing Vehicle Accidents,Gun-woo Lee(이건우),한국컴퓨터정보학회,2017
,58,Analysis of the Status of Artificial Medical Intelligence Technology Based on Big Data,Kyung-A KIM,한국인공지능학회,2022
,59,"Knowledge Extractions, Visualizations, and Inference from the big Data in Healthcare and Medical",김진성,한국지능시스템학회,2013
,60,Big Data Analysis: Innovation of College English Writing Teaching: A Quantitative Research on “One Million Essays on Same Topics” English Writing Activity,Su Yao,아시아사회과학학회,2021
,61,Analysis of Social Media Utilization based on Big Data-Focusing on the Chinese Government Weibo,Xiang Li,한국인터넷정보학회,2022
,62,Big Data를 활용한 여성소비자의 특성연구,김은주,한국디지털정책학회,2015
,63,Urban Big Data: Social Costs Analysis for Urban Planning with Crowd-sourced Mobile Sensing Data,신동윤,한국BIM학회,2023
,64,Big Data and Visualization,김상기,대한교통학회,2016
,65,A Study of Development a Big Data-based CS Model for Maritime Traffic Assessment,이의종,한국항해항만학회,2024
,66,Big data analytics using optimized LSTM for carbon cost reduction in the construction industry,Yuhui Zhou,Techno-Press,2024
,67,"Big Data Analysis: Managerial Applications, Taxonomy, and Cases",최무진,한국로고스경영학회,2011
,68,Big Data Analysis of Weather Condition and Air Quality on Cosmetics Marketing,"Wang, Zebin",Korea Data Strategy Society,2017
,69,"Knowledge Extractions, Visualizations, and Inference from the big Data in Healthcare and Medical","Kim, Jin Sung",Korean Institute of Intelligent Systems,2013
,70,Examining the Impact of Weather Factors on Yield Industry Vitalization on Big Data Foundation Technique,Yun-Jeong Kang(강윤정),한국엔터테인먼트산업학회,2017
,71,Can Big Data Help Predict Financial Market Dynamics?: Evidence from the Korean Stock Market,표동진,대외경제정책연구원,2017
,72,An Analysis of IT Proposal Evaluation Results using Big Data-based Opinion Mining = 빅데이터 분석 기반의 오피니언 마이닝을 이용한 정보화 사업 평가 분석,Hong Sam Kim(김홍삼),한국산업경영시스템학회,2018
,73,Monte Carlo simulation-based traffic speed forecasting using historical big data,"Jeon, S.",North-Holland,2016
,74,Big Data Analysis of Weather Condition and Air Quality on Cosmetics Marketing,Zebin Wang,한국데이타베이스학회,2017
,75,Big Data-oriented Analysis on Issues of the Hyper-connected Society,Sungbum Park(박승범),국제e-비즈니스학회,2015
,76,Indonesia's Connectography Analysis Using Big Data,황승준,한국로고스경영학회,2023
,77,Analyzing Box-Office Hit Factors Using Big Data: Focusing on Korean Films for the Last 5 Years,"Hwang, Youngmee",The Korea Institute of Information and Commucation Engineering,2017
,78,A Competitive Analysis of Coffee Franchise Brands on Social Media Using Big Data,Hoanhsu Le,한국인터넷전자상거래학회,2015
,79,Examining the Impact of Weather Factors on Yield Industry Vitalization on Big Data Foundation Technique,강윤정,한국엔터테인먼트산업학회,2017
,80,Dynamic Data Migration in Hybrid Main Memories for In-Memory Big Data Storage,Hai Thanh Mai,한국전자통신연구원,2014
